pair_id,matched_context_index,target_index,mismatched_context_index,matched_document_id,mismatched_document_id,matched_english_context_words,mismatched_english_context_words,target_english_words
50,790,791,744,scotsman.133791,reuters.218861,10,10,22
51,811,812,859,cbsnews.248484,bbc.381701,7,7,32
52,821,822,627,dailymail.co.uk.298630,cnbc.com.6769,12,12,15
53,834,835,1523,newsweek.51329,nytimes.184830,33,32,35
54,859,860,690,bbc.381701,newsweek.51310,7,7,22
55,864,865,597,dailymail.co.uk.298738,scotsman.133804,11,11,20
56,882,883,1226,bbc.381669,scotsman.133773,8,8,19
57,895,896,970,foxnews.94512,newsweek.51318,14,14,29
58,919,920,424,guardian.221718,nytimes.184860,51,39,18
59,941,942,1084,dailymail.co.uk.298686,newsweek.51307,21,19,25
60,956,957,705,cbsnews.248471,independent.226301,17,17,44
61,970,971,895,newsweek.51318,foxnews.94512,14,14,31
62,988,989,1446,rt.com.91335,nytimes.184862,14,14,32
63,1005,1006,1395,newsweek.51300,dailymail.co.uk.298602,15,15,21
64,1020,1021,1418,cnn.304478,independent.226317,10,10,12
65,1026,1027,1136,upi.176275,bbc.381646,9,9,27
66,1041,1042,1162,telegraph.405422,reuters.218914,7,7,24
67,1054,1055,1026,reuters.218933,upi.176275,9,9,37
68,1065,1066,1316,newsweek.51328,scotsman.133783,12,12,37
69,1084,1085,941,newsweek.51307,dailymail.co.uk.298686,19,21,21
70,1106,1107,1041,bbc.381692,telegraph.405422,7,7,27
71,1118,1119,1005,independent.226346,newsweek.51300,15,15,23
72,1136,1137,1054,bbc.381646,reuters.218933,9,9,27
73,1162,1163,1106,reuters.218914,bbc.381692,7,7,33
74,1182,1183,1020,scotsman.133758,cnn.304478,10,10,28
75,1206,1207,329,rt.com.91350,euronews-en.153800,6,6,37
76,1226,1227,882,scotsman.133773,bbc.381669,8,8,25
77,1253,1254,1293,rt.com.91334,guardian.221756,11,11,22
78,1274,1275,1477,bbc.381680,nytimes.184825,7,7,26
79,1293,1294,1253,guardian.221756,rt.com.91334,11,11,32
80,1316,1317,1065,scotsman.133783,newsweek.51328,12,12,25
81,1326,1327,1356,cnn.304521,bbc.381789,9,9,27
82,1335,1336,356,dailymail.co.uk.298622,newsweek.51338,16,16,29
83,1356,1357,1326,bbc.381789,cnn.304521,9,9,17
84,1380,1381,1510,dailymail.co.uk.298644,nytimes.184804,12,12,17
85,1395,1396,1118,dailymail.co.uk.298602,independent.226346,15,15,26
86,1407,1408,1460,scotsman.133753,thelocal.65969,11,11,22
87,1418,1419,1182,independent.226317,scotsman.133758,10,10,19
88,1446,1447,988,nytimes.184862,rt.com.91335,14,14,38
89,1460,1461,1407,thelocal.65969,scotsman.133753,11,11,28
90,1477,1478,1274,nytimes.184825,bbc.381680,7,7,25
91,1501,1502,1543,cnbc.com.6784,scotsman.133801,9,9,31
92,1510,1511,1380,nytimes.184804,dailymail.co.uk.298644,12,12,17
93,1523,1524,834,nytimes.184830,newsweek.51329,32,33,22
94,1543,1544,1555,scotsman.133801,cnbc.com.6770,9,9,39
95,1555,1556,1501,cnbc.com.6770,cnbc.com.6784,9,9,28
96,1576,1577,1609,bbc.381760,newsweek.51339,9,9,19
97,1582,1583,1624,reuters.218865,euronews-en.153797,5,5,31
98,1609,1610,1576,newsweek.51339,bbc.381760,9,9,21
99,1624,1625,1582,euronews-en.153797,reuters.218865,5,5,17
